batch	lr	drop	epoch	pm	rm	fm	pw	rw	fw	time
64	0.0001	0.2	29	0.610181	0.610133	0.594666	0.625565	0.594667	0.594624	1008.1206305027008
64	0.0001	0.4	48	0.62292	0.627849	0.59883	0.659447	0.599667	0.603434	999.328177690506
64	0.001	0.0	3	0.629967	0.639913	0.599809	0.683804	0.602	0.60893	956.6448767185211
64	0.001	0.1	24	0.628736	0.63074	0.609166	0.65315	0.609333	0.610793	1019.953964471817
64	0.001	0.2	54	0.607334	0.604932	0.598943	0.609963	0.6	0.597763	1024.5233938694
64	0.001	0.4	1	0.641516	0.643559	0.621859	0.665749	0.622	0.623311	1010.4423441886902
64	0.01	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	953.0818722248077
64	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1028.6322741508484
64	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1009.513158082962
64	0.01	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1009.9953925609589
64	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	956.0445921421051
64	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1005.0313246250153
64	0.1	0.2	0	0.5	0.21	0.295775	1.0	0.42	0.591549	1003.6385917663574
64	0.1	0.4	0	0.5	0.21	0.295775	1.0	0.42	0.591549	1011.8458476066589
64	1e-05	0.0	54	0.638506	0.649514	0.607734	0.694092	0.61	0.617036	954.6281547546387
64	1e-05	0.1	5	0.603722	0.612069	0.573493	0.658011	0.576	0.583739	1009.1971888542175
64	1e-05	0.2	4	0.59179	0.606612	0.550793	0.678218	0.557333	0.572547	1013.6879675388336
64	1e-05	0.4	2	0.543829	0.542871	0.542024	0.545316	0.547667	0.545176	996.9382619857788
64	1e-06	0.0	57	0.609223	0.62352	0.571856	0.684916	0.576667	0.588739	954.9809000492096
64	1e-06	0.1	55	0.595416	0.603928	0.564045	0.653077	0.567	0.575698	1002.2182309627533
64	1e-06	0.2	18	0.557389	0.558483	0.557579	0.577377	0.572667	0.574682	1014.996212720871
64	1e-06	0.4	29	0.556582	0.557198	0.556759	0.572912	0.570333	0.571497	1011.2269394397736
